CPF;VLR_ACORDO_DIGIO;VLR_DIVIDA_ATUALIZADA
35264914801;800,00;1000,00
48901237601;900,00;1200,00
72836451901;750,00;950,00
15794028301;600,00;800,00
63482950701;1100,00;1500,00
29157384001;450,00;600,00
84703621501;1300,00;1800,00
57069143801;700,00;900,00
91438607201;850,00;1100,00
46821753901;500,00;700,00
58392047102;800,00;1000,00
74015286302;900,00;1200,00
31629487502;750,00;950,00
96841370202;600,00;800,00
47253918602;1100,00;1500,00
83176540902;450,00;600,00
20958173402;1300,00;1800,00
65437290102;700,00;900,00
12894365702;850,00;1100,00
79320681402;500,00;700,00
46718253903;800,00;1000,00
83059174203;900,00;1200,00
27641830503;750,00;950,00
51394762003;600,00;800,00
94827053603;1100,00;1500,00
38156290703;450,00;600,00
70293841503;1300,00;1800,00
15748062903;700,00;900,00
62481539703;850,00;1100,00
89035274103;500,00;700,00
73816540204;800,00;1000,00
40289317604;900,00;1200,00
85162094304;750,00;950,00
28437165904;600,00;800,00
67053482104;1100,00;1500,00
91748320604;450,00;600,00
34675809104;1300,00;1800,00
56902473804;700,00;900,00
14287630504;850,00;1100,00
79541028304;500,00;700,00
62749380105;800,00;1000,00
81053624705;900,00;1200,00
34792856105;750,00;950,00
97025413605;600,00;800,00
45381672905;1100,00;1500,00
20867354105;450,00;600,00
73514986205;1300,00;1800,00
59238047605;700,00;900,00
16475392805;850,00;1100,00
88142753905;500,00;700,00
54826193706;800,00;1000,00
71390428506;900,00;1200,00
39075864206;750,00;950,00
87613250906;600,00;800,00
23159487306;1100,00;1500,00
60482735106;450,00;600,00
95347021806;1300,00;1800,00
17938456206;700,00;900,00
43681972506;850,00;1100,00
28754309106;500,00;700,00
13579246807;800,00;1000,00
24681357907;900,00;1200,00
35792468007;750,00;950,00
46803579107;600,00;800,00
57914680207;1100,00;1500,00
68025791307;450,00;600,00
79136802407;1300,00;1800,00
80247913507;700,00;900,00
91358024607;850,00;1100,00
02469135707;500,00;700,00
13579246808;800,00;1000,00
24681357908;900,00;1200,00
35792468008;750,00;950,00
46803579108;600,00;800,00
57914680208;1100,00;1500,00
68025791308;450,00;600,00
79136802408;1300,00;1800,00
80247913508;700,00;900,00
91358024608;850,00;1100,00
02469135708;500,00;700,00
13579246809;800,00;1000,00
24681357909;900,00;1200,00
35792468009;750,00;950,00
46803579109;600,00;800,00
57914680209;1100,00;1500,00
68025791309;450,00;600,00
79136802409;1300,00;1800,00
80247913509;700,00;900,00
91358024609;850,00;1100,00
02469135709;500,00;700,00
